school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,"studytime, granular",higher,internet,romantic,famrel,freetime,goout,health,absences,score
GP,F,15,R,GT3,T,3.0,4.0,services,teacher,course,father,2.0,3.0,2.0,no,yes,no,no,yes,-9.0,yes,yes,yes,4.0,2.0,2.0,5.0,0.0,0.0
GP,F,15,U,GT3,,1.0,1.0,at_home,other,course,mother,3.0,1.0,0.0,no,yes,no,yes,no,-3.0,yes,yes,yes,4.0,,3.0,4.0,0.0,0.0
GP,F,17,U,LE3,T,2.0,2.0,other,other,course,father,,1.0,0.0,no,yes,no,no,yes,-3.0,yes,,yes,3.0,4.0,4.0,5.0,12.0,60.0
GP,F,16,U,GT3,A,3.0,4.0,services,other,course,father,1.0,1.0,0.0,no,no,no,no,yes,-3.0,yes,,no,3.0,2.0,1.0,5.0,16.0,55.0
GP,M,15,R,GT3,T,3.0,4.0,at_home,teacher,course,mother,,2.0,0.0,no,yes,no,no,yes,-6.0,yes,no,yes,5.0,3.0,3.0,5.0,0.0,0.0
GP,F,15,U,GT3,T,4.0,4.0,services,,course,mother,1.0,3.0,0.0,no,yes,no,yes,yes,-9.0,yes,yes,yes,4.0,3.0,3.0,5.0,0.0,0.0
GP,M,17,R,GT3,T,3.0,4.0,at_home,other,course,mother,3.0,2.0,0.0,no,no,,no,yes,-6.0,yes,no,no,,4.0,5.0,5.0,0.0,0.0
GP,F,16,U,GT3,A,3.0,,other,other,,other,,1.0,2.0,no,yes,no,yes,no,-3.0,yes,yes,yes,4.0,3.0,2.0,5.0,0.0,0.0
GP,M,16,U,LE3,T,1.0,1.0,services,other,,,1.0,2.0,1.0,no,no,no,no,yes,-6.0,yes,no,yes,4.0,4.0,4.0,5.0,0.0,60.0
GP,F,15,U,GT3,,4.0,4.0,teacher,teacher,course,mother,2.0,1.0,0.0,no,no,no,yes,yes,-3.0,yes,yes,,4.0,3.0,2.0,5.0,0.0,75.0
GP,M,15,U,GT3,T,4.0,3.0,teacher,services,,father,2.0,4.0,0.0,yes,yes,no,,yes,-12.0,yes,yes,no,2.0,2.0,2.0,3.0,0.0,0.0
GP,M,16,U,LE3,T,2.0,2.0,services,services,reputation,father,2.0,1.0,2.0,no,yes,no,,yes,-3.0,yes,,no,2.0,3.0,3.0,2.0,8.0,45.0
GP,F,15,U,GT3,T,4.0,,teacher,services,course,mother,,3.0,0.0,no,yes,yes,yes,yes,-9.0,,yes,no,4.0,2.0,2.0,5.0,2.0,55.0
GP,F,16,U,LE3,T,1.0,1.0,at_home,at_home,course,mother,1.0,1.0,0.0,no,no,no,no,yes,-3.0,yes,yes,no,3.0,4.0,4.0,1.0,2.0,65.0
GP,M,17,U,GT3,T,2.0,1.0,other,other,home,,1.0,1.0,3.0,no,yes,no,no,yes,-3.0,yes,yes,no,5.0,4.0,5.0,5.0,0.0,0.0
GP,F,15,U,GT3,T,1.0,1.0,,services,course,father,1.0,2.0,0.0,no,yes,yes,no,yes,-6.0,yes,yes,no,4.0,4.0,2.0,,0.0,55.0
GP,F,15,U,GT3,T,3.0,2.0,health,services,home,father,1.0,2.0,3.0,no,,no,no,yes,-6.0,yes,yes,no,3.0,3.0,2.0,3.0,0.0,0.0
GP,F,15,U,GT3,,1.0,2.0,at_home,other,course,mother,,2.0,0.0,no,yes,yes,no,no,-6.0,yes,yes,,4.0,3.0,2.0,5.0,2.0,55.0
GP,M,16,U,GT3,T,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,no,yes,,no,yes,-3.0,no,yes,yes,3.0,3.0,2.0,5.0,0.0,0.0
GP,M,15,U,LE3,,2.0,1.0,services,other,course,mother,4.0,1.0,3.0,no,,no,no,yes,-3.0,,yes,no,4.0,5.0,5.0,5.0,0.0,50.0
GP,M,18,U,LE3,T,1.0,1.0,other,other,course,mother,1.0,1.0,3.0,no,no,no,no,yes,-3.0,no,yes,yes,2.0,3.0,5.0,4.0,,0.0
GP,M,16,U,LE3,T,2.0,1.0,at_home,,course,mother,1.0,1.0,1.0,,no,no,yes,yes,-3.0,yes,no,yes,4.0,4.0,4.0,5.0,6.0,70.0
GP,F,15,R,GT3,T,3.0,3.0,services,,reputation,other,2.0,3.0,2.0,no,yes,yes,yes,,-9.0,yes,yes,yes,4.0,2.0,1.0,3.0,8.0,50.0
GP,M,19,U,GT3,,3.0,2.0,services,at_home,home,mother,1.0,1.0,,no,yes,no,no,yes,-3.0,no,yes,yes,4.0,5.0,4.0,,0.0,0.0
GP,F,17,U,GT3,T,4.0,4.0,other,teacher,course,mother,1.0,1.0,0.0,yes,yes,no,no,yes,-3.0,yes,no,yes,4.0,2.0,1.0,4.0,0.0,60.0
GP,M,15,R,GT3,T,2.0,3.0,at_home,services,course,mother,1.0,2.0,0.0,yes,no,yes,yes,yes,-6.0,yes,,,4.0,4.0,4.0,1.0,2.0,40.0
GP,M,17,R,LE3,T,1.0,2.0,,other,reputation,mother,1.0,1.0,0.0,no,no,no,no,yes,-3.0,yes,no,no,2.0,2.0,2.0,5.0,8.0,65.0
GP,F,18,R,GT3,T,1.0,1.0,at_home,other,course,mother,,1.0,3.0,no,yes,no,yes,no,-3.0,yes,no,no,5.0,2.0,5.0,4.0,6.0,50.0
GP,M,16,R,GT3,,2.0,2.0,at_home,other,course,mother,3.0,1.0,,no,no,no,no,no,-3.0,,no,no,4.0,2.0,2.0,3.0,2.0,75.0
GP,M,16,,GT3,T,3.0,,other,services,course,father,1.0,2.0,1.0,no,yes,yes,no,yes,-6.0,yes,yes,yes,4.0,5.0,5.0,5.0,4.0,60.0
GP,M,17,R,LE3,T,2.0,1.0,at_home,,course,mother,,1.0,2.0,no,no,no,,yes,-3.0,no,yes,yes,,3.0,2.0,5.0,0.0,0.0
GP,M,15,R,GT3,T,3.0,,other,,course,mother,2.0,2.0,2.0,yes,yes,no,no,yes,-6.0,yes,yes,yes,4.0,4.0,4.0,3.0,6.0,35.0
GP,M,16,U,LE3,T,1.0,2.0,other,other,course,mother,2.0,1.0,1.0,no,no,no,yes,yes,-3.0,yes,,,4.0,4.0,4.0,5.0,0.0,0.0
GP,M,17,U,GT3,T,1.0,3.0,at_home,services,course,father,1.0,1.0,0.0,no,no,no,,yes,-3.0,no,yes,no,5.0,3.0,3.0,2.0,2.0,50.0
GP,M,17,R,LE3,T,1.0,1.0,other,services,course,,4.0,2.0,3.0,no,no,,yes,yes,-6.0,no,no,yes,5.0,3.0,5.0,,0.0,35.0
GP,M,16,U,GT3,T,3.0,2.0,services,services,course,mother,2.0,1.0,1.0,no,yes,no,yes,no,-3.0,no,no,no,4.0,5.0,2.0,2.0,16.0,60.0
GP,M,16,U,GT3,T,2.0,2.0,,other,course,father,1.0,2.0,0.0,no,no,no,no,yes,-6.0,no,yes,no,4.0,3.0,5.0,4.0,4.0,50.0
GP,F,16,U,,T,4.0,2.0,health,services,home,father,1.0,2.0,0.0,no,,yes,no,yes,-6.0,yes,yes,yes,4.0,2.0,3.0,3.0,0.0,80.0
GP,F,16,,GT3,T,2.0,2.0,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,no,no,-6.0,yes,yes,no,5.0,1.0,5.0,4.0,0.0,0.0
GP,F,16,U,GT3,T,4.0,4.0,health,,reputation,mother,1.0,2.0,0.0,no,,yes,no,yes,-6.0,yes,yes,yes,4.0,4.0,2.0,3.0,0.0,70.0
GP,M,16,U,GT3,T,3.0,4.0,other,other,course,father,3.0,1.0,,no,yes,no,yes,no,-3.0,,yes,no,3.0,4.0,5.0,2.0,0.0,0.0
GP,M,16,U,GT3,T,1.0,0.0,other,other,reputation,mother,2.0,2.0,,no,yes,yes,yes,yes,-6.0,,yes,yes,4.0,3.0,2.0,3.0,2.0,80.0
GP,M,17,U,,T,4.0,4.0,teacher,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,-6.0,yes,yes,no,4.0,4.0,4.0,5.0,,50.0
GP,F,16,U,GT3,T,1.0,3.0,at_home,services,home,,1.0,2.0,3.0,no,no,no,yes,no,-6.0,yes,yes,yes,4.0,3.0,5.0,3.0,0.0,0.0
GP,F,16,U,LE3,,3.0,3.0,,other,reputation,mother,2.0,2.0,0.0,no,yes,yes,yes,yes,-6.0,yes,yes,no,4.0,4.0,5.0,4.0,4.0,45.0
GP,M,17,U,LE3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,no,yes,yes,yes,-6.0,yes,yes,no,4.0,4.0,4.0,4.0,4.0,45.0
GP,F,16,U,GT3,T,2.0,2.0,services,other,reputation,mother,2.0,2.0,0.0,no,no,yes,yes,no,-6.0,yes,yes,no,3.0,4.0,4.0,5.0,2.0,55.0
GP,M,17,U,GT3,T,3.0,3.0,,other,reputation,father,1.0,2.0,0.0,no,no,no,yes,no,-6.0,yes,yes,no,4.0,3.0,4.0,4.0,4.0,30.0
GP,M,16,R,GT3,T,4.0,2.0,teacher,services,other,mother,1.0,1.0,0.0,no,yes,,yes,yes,-3.0,yes,yes,yes,4.0,3.0,3.0,3.0,10.0,45.0
GP,M,17,U,GT3,T,4.0,3.0,other,other,course,mother,1.0,2.0,0.0,no,yes,no,yes,yes,-6.0,yes,yes,yes,5.0,2.0,3.0,2.0,4.0,55.0
GP,M,16,U,GT3,T,4.0,,teacher,other,home,mother,1.0,2.0,0.0,no,,yes,yes,yes,-6.0,yes,yes,no,3.0,4.0,3.0,3.0,10.0,40.0
GP,M,16,U,GT3,T,3.0,3.0,services,other,home,,1.0,2.0,0.0,no,no,yes,yes,yes,-6.0,,yes,,4.0,2.0,3.0,3.0,2.0,60.0
GP,F,17,U,GT3,,2.0,4.0,services,,reputation,father,,2.0,0.0,no,yes,no,yes,yes,-6.0,yes,no,no,5.0,4.0,2.0,5.0,0.0,85.0
GP,F,17,U,LE3,,3.0,3.0,other,other,reputation,mother,1.0,2.0,0.0,no,yes,no,yes,yes,-6.0,yes,yes,yes,5.0,3.0,3.0,1.0,56.0,40.0
GP,F,16,U,GT3,T,3.0,2.0,other,other,reputation,mother,1.0,2.0,0.0,no,yes,,no,yes,-6.0,yes,yes,no,1.0,2.0,2.0,1.0,14.0,60.0
GP,M,17,U,GT3,T,3.0,3.0,services,services,,mother,1.0,2.0,0.0,no,yes,no,yes,yes,-6.0,yes,,yes,4.0,3.0,4.0,4.0,12.0,55.0
GP,M,16,U,GT3,,1.0,2.0,services,services,,mother,1.0,1.0,0.0,no,yes,yes,yes,yes,-3.0,yes,yes,yes,3.0,3.0,3.0,3.0,2.0,55.0
GP,M,16,U,LE3,T,2.0,1.0,other,other,course,mother,1.0,2.0,0.0,no,no,yes,yes,yes,-6.0,yes,yes,yes,4.0,2.0,3.0,5.0,0.0,75.0
GP,F,17,U,GT3,A,3.0,3.0,health,other,reputation,mother,1.0,2.0,0.0,no,yes,no,no,no,-6.0,yes,yes,yes,3.0,3.0,3.0,3.0,6.0,45.0
GP,M,17,R,GT3,T,1.0,2.0,at_home,other,home,mother,1.0,2.0,0.0,no,no,no,no,yes,-6.0,yes,no,no,3.0,1.0,3.0,,4.0,50.0
GP,F,16,U,GT3,T,2.0,3.0,services,services,course,mother,1.0,2.0,0.0,no,no,no,no,yes,-6.0,yes,yes,,4.0,3.0,3.0,2.0,10.0,65.0
GP,F,17,U,GT3,T,1.0,1.0,at_home,services,course,mother,1.0,2.0,0.0,no,no,no,yes,yes,-6.0,yes,,no,5.0,3.0,3.0,3.0,0.0,45.0
GP,M,17,U,GT3,T,1.0,2.0,at_home,services,other,other,2.0,2.0,0.0,no,no,,yes,no,-6.0,yes,yes,no,4.0,4.0,4.0,5.0,12.0,40.0
GP,M,16,R,GT3,,,3.0,services,services,reputation,mother,1.0,1.0,0.0,no,yes,no,yes,yes,-3.0,yes,yes,no,4.0,3.0,2.0,5.0,8.0,50.0
GP,M,16,U,GT3,T,2.0,3.0,other,other,home,father,2.0,1.0,0.0,no,no,no,no,yes,-3.0,yes,,,5.0,3.0,3.0,3.0,0.0,70.0
GP,F,17,U,,T,2.0,,services,services,course,father,1.0,2.0,0.0,no,,no,yes,yes,-6.0,yes,yes,yes,,3.0,2.0,5.0,0.0,75.0
GP,M,17,U,GT3,T,4.0,4.0,services,teacher,,mother,1.0,1.0,0.0,no,no,no,no,yes,-3.0,yes,yes,no,5.0,2.0,3.0,5.0,4.0,80.0
GP,M,16,R,LE3,,3.0,3.0,teacher,other,home,father,3.0,1.0,0.0,no,yes,yes,yes,yes,-3.0,yes,yes,no,3.0,3.0,4.0,3.0,8.0,50.0
GP,F,17,U,GT3,,4.0,4.0,services,teacher,home,mother,2.0,1.0,1.0,no,yes,no,no,yes,-3.0,yes,,no,4.0,2.0,4.0,2.0,24.0,90.0
GP,F,16,U,LE3,T,4.0,4.0,teacher,teacher,reputation,mother,1.0,2.0,0.0,no,yes,,no,yes,-6.0,yes,yes,no,4.0,5.0,2.0,3.0,0.0,50.0
GP,F,16,U,GT3,T,4.0,3.0,health,other,home,mother,1.0,2.0,0.0,no,yes,,yes,yes,-6.0,yes,yes,no,4.0,3.0,,2.0,2.0,80.0
GP,F,16,U,GT3,T,2.0,3.0,other,other,reputation,mother,1.0,2.0,0.0,yes,yes,,yes,yes,-6.0,yes,no,no,4.0,,3.0,4.0,6.0,
GP,F,17,U,,T,1.0,1.0,other,other,course,mother,1.0,2.0,0.0,no,yes,yes,no,no,-6.0,yes,no,no,4.0,4.0,,1.0,4.0,50.0
GP,F,17,R,GT3,T,2.0,2.0,other,other,reputation,mother,1.0,1.0,0.0,no,yes,no,no,yes,-3.0,yes,yes,no,5.0,3.0,2.0,3.0,18.0,30.0
GP,F,16,R,GT3,T,2.0,2.0,services,services,reputation,mother,2.0,4.0,,no,yes,yes,yes,no,-12.0,yes,yes,,5.0,3.0,5.0,5.0,6.0,55.0
GP,F,17,U,GT3,T,3.0,4.0,at_home,services,home,mother,1.0,3.0,1.0,no,yes,yes,no,yes,-9.0,yes,yes,yes,4.0,4.0,3.0,5.0,28.0,45.0
GP,F,16,U,GT3,A,3.0,1.0,services,other,course,mother,1.0,2.0,3.0,no,yes,yes,no,yes,-6.0,yes,yes,no,2.0,3.0,3.0,4.0,5.0,35.0
GP,F,16,U,GT3,T,4.0,3.0,teacher,other,other,mother,1.0,2.0,0.0,no,no,yes,,yes,-6.0,yes,yes,yes,1.0,3.0,2.0,1.0,10.0,65.0
GP,F,16,U,GT3,T,1.0,1.0,at_home,other,home,mother,2.0,1.0,0.0,no,yes,yes,no,yes,-3.0,yes,no,no,4.0,3.0,2.0,,6.0,50.0
GP,F,17,R,GT3,T,4.0,3.0,teacher,other,reputation,mother,2.0,3.0,0.0,no,yes,yes,yes,yes,-9.0,yes,yes,yes,4.0,4.0,2.0,4.0,6.0,35.0
GP,F,19,U,GT3,,3.0,3.0,other,other,reputation,other,1.0,4.0,0.0,no,yes,yes,yes,yes,-12.0,yes,yes,no,4.0,3.0,3.0,3.0,10.0,40.0
GP,M,17,U,LE3,T,4.0,4.0,services,other,home,mother,1.0,2.0,0.0,,yes,yes,no,yes,-6.0,yes,yes,yes,5.0,3.0,5.0,3.0,13.0,65.0
GP,F,16,U,GT3,A,2.0,2.0,other,other,reputation,mother,1.0,2.0,0.0,yes,yes,yes,,,-6.0,yes,yes,no,3.0,3.0,4.0,4.0,0.0,70.0
GP,M,18,U,GT3,T,2.0,2.0,services,other,home,mother,1.0,2.0,1.0,no,yes,yes,yes,yes,-6.0,yes,yes,no,4.0,4.0,4.0,5.0,15.0,40.0
GP,F,17,R,LE3,T,4.0,4.0,services,other,other,mother,1.0,1.0,,no,yes,,no,yes,-3.0,yes,no,no,5.0,2.0,1.0,3.0,12.0,50.0
GP,F,17,U,LE3,T,3.0,2.0,other,other,reputation,mother,2.0,2.0,0.0,no,no,,no,yes,-6.0,yes,,no,4.0,4.0,4.0,1.0,,75.0
GP,F,17,U,GT3,T,4.0,3.0,other,,reputation,mother,1.0,2.0,2.0,no,no,yes,no,yes,-6.0,yes,yes,yes,3.0,4.0,5.0,1.0,22.0,20.0
GP,M,18,U,LE3,T,3.0,3.0,services,health,home,father,1.0,2.0,1.0,no,yes,yes,no,yes,-6.0,yes,yes,no,,2.0,4.0,4.0,13.0,40.0
GP,F,17,U,GT3,T,2.0,3.0,at_home,other,home,father,2.0,1.0,0.0,no,yes,,no,yes,-3.0,yes,no,no,3.0,3.0,3.0,3.0,3.0,40.0
GP,F,17,U,GT3,T,2.0,2.0,,at_home,course,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,-9.0,yes,yes,no,4.0,3.0,3.0,4.0,4.0,50.0
GP,F,17,R,GT3,T,2.0,1.0,at_home,services,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,-6.0,yes,yes,no,4.0,2.0,5.0,,2.0,30.0
GP,F,17,U,,T,1.0,1.0,at_home,other,reputation,mother,1.0,3.0,1.0,no,yes,no,yes,yes,-9.0,yes,no,yes,4.0,3.0,,5.0,0.0,0.0
GP,F,16,U,GT3,T,2.0,3.0,services,teacher,other,mother,1.0,2.0,0.0,yes,,no,no,yes,-6.0,yes,yes,no,2.0,3.0,1.0,3.0,385.0,85.0
GP,M,18,U,GT3,T,2.0,2.0,other,other,home,,2.0,2.0,0.0,no,yes,yes,no,yes,-6.0,yes,yes,no,3.0,3.0,3.0,4.0,0.0,65.0
GP,F,16,U,GT3,T,4.0,4.0,,services,home,mother,1.0,3.0,0.0,no,yes,no,yes,no,-9.0,yes,yes,no,5.0,3.0,2.0,5.0,0.0,70.0
GP,F,18,R,GT3,T,3.0,1.0,other,other,reputation,mother,1.0,2.0,1.0,no,no,no,yes,yes,-6.0,yes,yes,yes,5.0,3.0,3.0,4.0,16.0,35.0
GP,F,17,U,GT3,T,3.0,2.0,other,other,course,mother,,2.0,0.0,no,no,no,yes,no,-6.0,yes,yes,no,5.0,3.0,4.0,3.0,10.0,75.0
GP,M,17,U,LE3,,2.0,3.0,services,services,reputation,father,1.0,,0.0,no,yes,yes,no,no,,,yes,no,5.0,3.0,3.0,3.0,,60.0
GP,M,18,U,,T,2.0,1.0,at_home,other,course,mother,4.0,2.0,0.0,yes,yes,yes,yes,yes,-6.0,yes,yes,yes,4.0,3.0,2.0,3.0,14.0,45.0
GP,F,17,U,GT3,A,2.0,1.0,other,,course,mother,2.0,3.0,0.0,no,no,no,yes,yes,-9.0,yes,yes,yes,,2.0,3.0,3.0,10.0,60.0
GP,F,17,U,LE3,T,4.0,3.0,health,other,reputation,father,1.0,2.0,0.0,no,no,no,yes,yes,-6.0,yes,yes,yes,3.0,2.0,3.0,3.0,14.0,70.0
GP,M,17,R,GT3,T,2.0,2.0,other,other,course,father,2.0,2.0,0.0,no,yes,yes,yes,yes,-6.0,yes,yes,no,4.0,5.0,2.0,1.0,4.0,55.0
GP,M,17,U,GT3,T,4.0,,teacher,teacher,reputation,mother,1.0,2.0,0.0,yes,,no,yes,yes,-6.0,yes,yes,yes,4.0,5.0,5.0,2.0,14.0,45.0
GP,M,16,U,GT3,T,4.0,4.0,health,other,reputation,father,1.0,2.0,0.0,no,yes,yes,yes,yes,-6.0,yes,yes,no,4.0,2.0,4.0,1.0,2.0,65.0
GP,M,16,U,LE3,,1.0,1.0,other,other,home,mother,,2.0,0.0,no,,yes,no,yes,-6.0,yes,yes,no,3.0,4.0,2.0,5.0,18.0,30.0
GP,M,16,U,,T,3.0,2.0,at_home,other,reputation,,2.0,3.0,0.0,no,no,no,yes,yes,-9.0,yes,yes,yes,5.0,3.0,3.0,2.0,10.0,50.0
GP,M,17,U,LE3,T,2.0,,other,other,home,father,1.0,2.0,,no,no,,yes,no,-6.0,yes,yes,yes,4.0,4.0,2.0,,4.0,65.0
GP,F,16,U,,T,2.0,1.0,other,other,home,mother,1.0,1.0,0.0,no,,no,no,yes,-3.0,yes,yes,yes,4.0,5.0,2.0,5.0,20.0,60.0
GP,F,17,R,GT3,T,2.0,1.0,at_home,services,course,mother,3.0,2.0,0.0,no,no,no,yes,yes,-6.0,yes,no,no,2.0,1.0,1.0,3.0,2.0,55.0
GP,M,18,U,GT3,,,2.0,other,services,reputation,father,1.0,2.0,1.0,no,no,no,no,yes,-6.0,no,,,5.0,5.0,4.0,2.0,0.0,0.0
GP,M,17,U,LE3,T,4.0,3.0,health,other,course,,2.0,2.0,0.0,no,no,no,yes,yes,-6.0,yes,yes,yes,2.0,5.0,5.0,5.0,14.0,60.0
GP,M,17,,LE3,A,4.0,4.0,teacher,other,course,mother,,2.0,0.0,no,yes,yes,no,yes,-6.0,yes,yes,no,3.0,3.0,,4.0,2.0,60.0
GP,M,16,U,LE3,T,4.0,3.0,teacher,other,course,mother,1.0,1.0,0.0,no,no,no,yes,no,-3.0,yes,yes,no,5.0,4.0,5.0,3.0,0.0,0.0
GP,M,16,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,no,no,no,yes,yes,-3.0,yes,yes,no,5.0,3.0,2.0,5.0,0.0,60.0
GP,F,18,U,GT3,T,2.0,1.0,other,other,course,other,2.0,3.0,0.0,no,yes,yes,no,no,-9.0,yes,yes,yes,4.0,4.0,4.0,3.0,0.0,
GP,M,16,U,GT3,,2.0,1.0,other,other,course,mother,3.0,1.0,0.0,no,no,no,no,yes,-3.0,yes,yes,no,4.0,3.0,3.0,4.0,6.0,90.0
GP,M,17,U,GT3,T,2.0,3.0,other,other,course,father,2.0,1.0,0.0,no,,,no,yes,-3.0,yes,yes,no,5.0,2.0,2.0,2.0,4.0,65.0
GP,M,22,U,GT3,T,3.0,1.0,services,services,other,mother,1.0,1.0,3.0,no,no,no,no,no,-3.0,no,yes,yes,5.0,4.0,5.0,1.0,16.0,40.0
GP,M,18,R,LE3,T,3.0,3.0,other,services,course,mother,1.0,2.0,1.0,no,yes,no,no,yes,-6.0,yes,yes,yes,4.0,3.0,3.0,5.0,8.0,25.0
GP,M,16,U,GT3,T,0.0,2.0,other,other,other,mother,1.0,1.0,0.0,no,no,yes,no,,-3.0,yes,yes,no,4.0,3.0,2.0,5.0,0.0,75.0
GP,M,18,U,GT3,T,3.0,2.0,services,,course,mother,2.0,1.0,1.0,no,no,no,no,yes,-3.0,,yes,no,4.0,4.0,5.0,5.0,0.0,40.0
GP,M,16,U,GT3,T,3.0,3.0,at_home,other,reputation,other,3.0,2.0,0.0,yes,yes,no,no,no,-6.0,yes,,no,5.0,3.0,3.0,2.0,6.0,50.0
GP,M,18,U,,,2.0,1.0,services,services,other,mother,1.0,1.0,1.0,no,no,no,no,no,-3.0,no,yes,no,3.0,2.0,5.0,5.0,4.0,40.0
GP,M,16,R,,T,2.0,1.0,other,other,course,mother,2.0,1.0,0.0,no,no,,yes,no,-3.0,yes,no,no,3.0,3.0,2.0,3.0,0.0,40.0
GP,M,17,,,T,2.0,1.0,other,other,course,mother,1.0,1.0,0.0,no,no,no,no,no,-3.0,yes,yes,no,4.0,4.0,2.0,5.0,,60.0
GP,M,17,U,LE3,T,1.0,1.0,health,other,course,mother,2.0,1.0,1.0,no,yes,no,yes,yes,-3.0,yes,yes,no,4.0,4.0,4.0,5.0,2.0,40.0
GP,F,17,U,LE3,T,4.0,2.0,teacher,services,reputation,mother,1.0,4.0,0.0,no,yes,,yes,yes,-12.0,yes,yes,no,4.0,2.0,3.0,,6.0,65.0
GP,M,19,U,LE3,A,4.0,3.0,services,at_home,reputation,mother,1.0,2.0,0.0,no,yes,no,no,yes,-6.0,yes,,no,4.0,3.0,1.0,1.0,12.0,55.0
GP,M,18,U,GT3,T,2.0,1.0,other,other,home,,1.0,2.0,0.0,no,no,no,yes,yes,-6.0,yes,,no,5.0,2.0,4.0,4.0,8.0,70.0
GP,F,17,U,LE3,T,2.0,,services,services,course,father,1.0,4.0,0.0,no,no,yes,yes,yes,-12.0,yes,,yes,3.0,4.0,1.0,,0.0,0.0
GP,F,18,U,GT3,,4.0,3.0,,other,home,father,1.0,2.0,0.0,no,yes,yes,no,yes,-6.0,yes,yes,yes,3.0,1.0,2.0,2.0,21.0,90.0
GP,M,18,U,GT3,T,4.0,3.0,teacher,other,course,mother,,2.0,,no,yes,yes,no,no,-6.0,yes,yes,,4.0,3.0,2.0,3.0,2.0,40.0
