Mark,Models
MARCOS,"['GTS', 'LM400', 'LM500', 'MANTIS_GT', 'MARCASITE']"
MARLIN,"['5EXI', 'SPORTSTER']"
MARUSSIA,"['B1', 'B2']"
MARUTI,"['1000', '800', 'ALTO', 'BALENO', 'ESTEEM', 'GYPSY', 'OMNI', 'VERSA', 'WAGON_R', 'ZEN']"
MASERATI,"['228', '3200GT', '420', '4200_GT', 'BARCHETTA_STRADALE', 'BITURBO', 'BORA', 'CHUBASCO', 'GHIBLI', 'GRAN_TURISMO', 'INDY', 'KARIF', 'KHAMSIN', 'KYALAMI', 'LEVANTE', 'MC12', 'MERAK', 'MEXICO', 'QUATTROPORTE', 'ROYALE', 'SHAMAL']"
MAYBACH,"['57', '62', 'EXELERO']"
MAZDA,"['1000', '121', '1300', '2', '3', '3MPS', '323', '5', '6', '6_MPS', '616', '626', '818', '929', 'ATENZA', 'AUTOZAM_AZ3', 'AXELA', 'AUTOZAM_AZ1', 'AZ_OFFROAD', 'AZ_WAGON', 'B_SERIES', 'BIANTE', 'BONGO', 'BONGO_FRIENDEE', 'BT_50', 'CAPELLA', 'CAROL', 'CHANTEZ', 'COSMO', 'CRONOS', 'CX_3', 'CX_30', 'CX_5', 'CX_7', 'CX_8', 'CX_9', 'DEMIO', 'EFINI_MS_6', 'EFINI_MS_8', 'EFINI_MS_9', 'ETUDE', 'EUNOS_100', 'EUNOS_300', 'EUNOS_500', 'EUNOS_800', 'EUNOS_COSMO', 'FAMILIA', 'FLAIR', 'FLAIR_CROSSOVER', 'FLAIR_WAGON', 'LANTIS', 'LAPUTA', 'LUCE', 'MILLENIA', 'MPV', 'MX_3', 'MX_5', 'MX_6', 'NAVAJO', 'PERSONA', 'PREMACY', 'PROCEED', 'PROCEED_LEVANTE', 'PROCEED_MARVIE', 'PROTEGE', 'R_360', 'REVUE', 'ROADSTER', 'RX_7', 'RX_8', 'SCRUM', 'SENTIA', 'SPIANO', 'TRIBUTE', 'VERISA', 'XEDOS_6', 'XEDOS_9']"
MCLAREN,"['540C', '570GT', '570S', '600LT', '650S', '675LT', '720S', 'F1', 'GT', '12C', 'P1', 'SENNA']"
MEGA,"['CLUB', 'MONTE_CARLO', 'TRACK']"
MERCEDES,"['W201', '190_SL', 'A_KLASSE', 'A_KLASSE_AMG', 'AMG_GT', 'B_KLASSE', 'C_KLASSE', 'C_KLASSE_AMG', 'CITAN', 'CL_KLASSE', 'CL_KLASSE_AMG', 'CLA_KLASSE', 'CLA_KLASSE_AMG', 'CLC_KLASSE', 'CLK_KLASSE', 'CLK_KLASSE_AMG', 'CLS_KLASSE', 'CLS_KLASSE_AMG', 'E_KLASSE', 'E_KLASSE_AMG', 'EQC', 'G_KLASSE', 'G_KLASSE_AMG', 'G_KLASSE_AMG_6X6', 'GL_KLASSE', 'GL_KLASSE_AMG', 'GLA_CLASS', 'GLA_CLASS_AMG', 'GLB_KLASSE', 'GLB_AMG', 'GLC_KLASSE', 'GLC_KLASSE_AMG', 'GLC_COUPE', 'AMG_GLC_COUPE', 'GLE_KLASSE', 'GLE_KLASSE_AMG', 'GLE_KLASSE_COUPE', 'GLE_KLASSE_COUPE_AMG', 'GLK_KLASSE', 'GLS_KLASSE', 'GLS_KLASSE_AMG', 'M_KLASSE', 'M_KLASSE_AMG', 'MAYBACH_G_650', 'MAYBACH_GLS', 'S_CLASS_MAYBACH', 'R_KLASSE', 'R_KLASSE_AMG', 'S_KLASSE', 'S_KLASSE_AMG', 'SIMPLEX', 'SL_KLASSE', 'SL_KLASSE_AMG', 'SLC_KLASSE', 'SLC_KLASSE_AMG', 'SLK_KLASSE', 'SLK_KLASSE_AMG', 'SLR_KLASSE', 'SLS_AMG', 'V_KLASSE', 'VANEO', 'VIANO', 'VITO', 'W100', 'W105', 'W108', 'W110', 'W111', 'W114', 'W115', 'W120', 'W121', 'W123', 'W124', 'W128', 'W136', 'W142', 'W186', 'W188', 'W189', 'W191', 'W29', 'X_KLASSE']"
MERCURY,"['CAPRI', 'COLONY_PARK', 'COUGAR', 'EIGHT', 'GRAND_MARQUIS', 'MARAUDER', 'MARINER', 'MARQUIES', 'MILAN', 'MONTEGO', 'MONTEREY', 'MOUNTAINEER', 'MYSTIQUE', 'SABLE', 'TOPAZ', 'TRACER', 'VILLAGER']"
METROCAB,"['METROCAB_1', 'METROCAB_II_TTT']"
MG,"['3', '350', '5', '550', '6', '750', 'F', 'GS', 'MAESTRO', 'METRO', 'MGA', 'MGB', 'MIDGET', 'MONTEGO', 'RV8', 'TD_MIDGET', 'TF', 'XPOWER_SV', 'ZR', 'ZS', 'ZT']"
MICROCAR,"['F8C', 'MGO', 'M8', 'MC', 'VIRGO']"
MINELLI,['TF_1800']
MINI,"['CABRIO', 'CLUBMAN', 'COUNTRYMAN', 'COUPE', 'HATCH', 'PACEMAN', 'ROADSTER']"
MITSUBISHI,"['3000_GT', '500', 'AIRTREK', 'ASPIRE', 'ASX', 'ATTRAGE', 'BRABO', 'CARISMA', 'CELESTE', 'CHALLENGER', 'CHARIOT', 'COLT', 'CORDIA', 'DEBONAIR', 'DELICA', 'DELICA_D2', 'DELICA_D3', 'DELICA_D_5', 'DIAMANTE', 'DIGNITY', 'DINGO', 'DION', 'ECLIPSE', 'ECLIPSE_CROSS', 'EK_ACTIVE', 'EK_CLASSIC', 'EK_CUSTOM', 'EK_SPACE', 'EK_SPORT', 'EK_WAGON', 'EMERAUDE', 'ENDEAVOR', 'ETERNA', 'FREECA', 'FTO', 'GALANT', 'GALANT_FORTIS', 'GRANDIS', 'GTO', 'I', 'I_MIEV', 'JEEP_J', 'L200', 'L300', 'L400', 'LANCER', 'LANCER_CARGO', 'LANCER_EVOLUTION', 'LANCER_RALLIART', 'LEGNUM', 'LIBERO', 'MINICA', 'MINICAB', 'MIRAGE', 'MONTERO', 'MONTERO_SPORT', 'OUTLANDER', 'PAJERO', 'PAJERO_IO', 'PAJERO_JUNIOR', 'PAJERO_MINI', 'PAJERO_PININ', 'PAJERO_SPORT', 'PISTACHIO', 'PROUDIA', 'RAIDER', 'RVR', 'SAPPORO', 'SAVRIN', 'SIGMA', 'SPACE_GEAR', 'SPACE_RUNNER', 'SPACE_STAR', 'SPACE_WAGON', 'STARION', 'STRADA', 'TOPPO', 'TOWN_BOX', 'TREDIA', 'TRITON', 'XPANDER']"
MITSUOKA,"['GALUE', 'GALUE_204', 'HIMIKO', 'LE_SEYDE', 'LIKE', 'MC_1', 'NOUERA', 'OROCHI', 'RAY', 'ROCK_STAR', 'RYOGA', 'RYUGI', 'VIEWT', 'YUGA', 'ZERO_ONE']"
MORGAN,"['3_WHEELER', '4_SEATER', '4_4', 'AERO_8', 'AERO_COUPE', 'AERO_SUPERSPORTS', 'AEROMAX', 'PLUS_4', 'PLUS_8', 'ROADSTER']"
MORRIS,"['EIGHT', 'MARINA']"
NASH,['AMBASSADOR']
NISSAN,"['100NX', '180SX', '200SX', '240SX', '280ZX', '300ZX', '350Z', '370Z', 'AD', 'ALMERA', 'ALMERA_CLASSIC', 'ALMERA_TINO', 'ALTIMA', 'ARMADA', 'AUSTER', 'AVENIR', 'BASSARA', 'BE_1', 'BLUEBIRD', 'BLUEBIRD_MAXIMA', 'BLUEBIRD_SYLPHY', 'CARAVAN_COACH', 'CEDRIC', 'CEFIRO', 'CHERRY', 'CIMA', 'CLIPPER_RIO', 'CREW', 'CUBE', 'DATSUN', 'DAYZ', 'DAYZ_ROOX', 'DUALIS', 'ELGRAND', 'EXA', 'EXPERT', 'FAIRLADY_Z', 'FIGARO', 'FUGA', 'GLORIA', 'GT_R', 'HOMY', 'HYPERMINI', 'JUKE', 'JUKE_NISMO', 'KICKS', 'KIX', 'LAFESTA', 'LANGLEY', 'LARGO', 'LATIO', 'LAUREL', 'LEAF', 'LEOPARD', 'LIBERTA_VILLA', 'LIBERTY', 'LIVINA', 'LUCINO', 'MARCH', 'MAXIMA', 'MICRA', 'MISTRAL', 'MOCO', 'MURANO', 'NAVARA', 'NOTE', 'NP300', 'CLIPPER', 'NV200', 'NV350_CARAVAN', 'NX_COUPE', 'OTTI', 'PAO', 'PATHFINDER', 'PATROL', 'PINO', 'PIXO', 'PRAIRIE', 'PRESAGE', 'PRESEA', 'PRESIDENT', 'PRIMASTAR', 'PRIMERA', 'PULSAR', 'QASHQAI', 'QASHQAI_PLUS_2', 'QUEST', 'RNESSA', 'RASHEEN', 'ROGUE', 'ROOX', 'SAFARI', 'SENTRA', 'SERENA', 'SILVIA', 'SKYLINE', 'SKYLINE_CROSSOVER', 'STAGEA', 'STANZA', 'SUNNY', 'TEANA', 'TERRA', 'TERRANO', 'TERRANO_REGULUS', 'TIIDA', 'TINO', 'TITAN', 'URVAN', 'VANETTE', 'VERSA', 'WINGROAD', 'X_TRAIL', 'XTERRA']"
NOBLE,"['M12_GTO', 'M15', 'M600']"
OLDSMOBILE,"['ACHIEVA', 'ALERO', 'AURORA', 'BRAVADA', 'CUTLASS', 'CUTLASS_CALAIS', 'CUTLASS_CIERA', 'CUTLASS_SUPREME', 'EIGHTY_EIGHT', 'FIRENZA', 'INTRIGUE', 'NINETY_EIGHT', 'OMEGA', 'SERIES_60', 'SERIES_70', 'SILHOUETTE', 'STARFIRE', 'TORONADO', 'VISTA_CRUISER']"
OPEL,"['ADAM', 'ADMIRAL', 'AGILA', 'AMPERA', 'ANTARA', 'ASCONA', 'ASTRA', 'ASTRA_OPC', 'CALIBRA', 'CAMPO', 'CASCADA', 'COMBO', 'COMMODORE', 'CORSA', 'CORSA_OPC', 'CROSSLAND_X', 'DIPLOMAT', 'FRONTERA', 'GRANDLAND_X', 'GT', 'INSIGNIA', 'INSIGNIA_OPC', 'KADETT', 'KAPITAN', 'KARL', 'MANTA', 'MERIVA', 'MERIVA_OPC', 'MOKKA', 'MONTEREY', 'MONZA', 'OLYMPIA', 'OMEGA', 'P4', 'REKORD', 'SENATOR', 'SIGNUM', 'SINTRA', 'SPEEDSTER', 'SUPER_SIX', 'TIGRA', 'VECTRA', 'VECTRA_OPC', 'VITA', 'VIVARO', 'ZAFIRA', 'ZAFIRA_LIFE', 'ZAFIRA_OPC']"
OSCA,['2500_GT']
PACKARD,"['200_250', 'CLIPPER', 'CUSTOM_EIGHT', 'ONE_TWENTY', 'TWELVE']"
PAGANI,"['HUAYRA', 'ZONDA']"
PANOZ,"['ESPERANTE', 'ROADSTER']"
PERODUA,"['ALZA', 'KANCIL', 'KELISA', 'KEMBARA', 'KENARI', 'MYVI', 'NAUTICA', 'VIVA']"
PEUGEOT,"['1007', '104', '106', '107', '108', '2008', '201', '202', '203', '204', '205', '205_GTI', '206', '207', '208', '208_GTI', '3008', '301', '304', '305', '306', '307', '308', '308_GTI', '309', '4007', '4008', '402', '403', '404', '405', '406', '407', '408', '5008', '504', '505', '508', '604', '605', '607', '806', '807', 'BIPPER', 'EXPERT', 'ION', 'PARTNER', 'RCZ', 'RIFTER', 'TRAVELLER']"
PGO,"['CEVENNES', 'HEMERA', 'SPEEDSTER_II']"
PIAGGIO,['PORTER']
PLYMOUTH,"['ACCLAIM', 'BARRACUDA', 'BREEZE', 'CARAVELLE', 'FURY', 'HORIZON', 'LASER', 'NEON', 'PROWLER', 'RELIANT', 'ROAD_RUNNER', 'SATELLITE', 'SUNDANCE', 'TURISMO', 'VALIANT', 'VOLARE', 'VOYAGER']"
PONTIAC,"['6000', 'AZTEK', 'BONNEVILLE', 'CATALINA', 'FIERO', 'FIREBIRD', 'G4', 'G5', 'G6', 'G8', 'GRAND_AM', 'GRAND_PRIX', 'GTO', 'LAURENTIAN', 'LEMANS', 'MONTANA', 'PARISIENNE', 'PHOENIX', 'SOLSTICE', 'SUNBIRD', 'SUNFIRE', 'TEMPEST', 'TORPEDO', 'TORRENT', 'TRANS_SPORT', 'VIBE', 'WAVE']"
PORSCHE,"['356', '718_SPYDER', '911', '911_GT2', '911_GT3', '911_R', '912', '914', '918_SPYDER', '924', '928', '944', '959', '968', 'BOXSTER', 'CARRERA_GT', 'CAYENNE', 'CAYMAN', 'CAYMAN_GT4', 'MACAN', 'PANAMERA', 'TAYCAN']"
PREMIER,"['118NE', 'PADMINI']"
PROTON,"['ARENA', 'EXORA', 'GEN_2', 'INSPIRA', 'JUARA', 'PERDANA', 'PERSONA', 'PREVE', 'PUTRA', 'SAGA', 'SATRIA', 'SAVVY', 'TIARA', 'WAJA', 'WIRA']"
PUCH,"['G_MODELL', 'PINZGAUER']"
PUMA,"['GTB', 'GTE']"
QOROS,['3']
QVALE,['MANGUSTA']
RAMBLER,['AMBASSADOR']
RAVON,"['GENTRA', 'MATIZ', 'NEXIA_R3', 'R2', 'R4']"
RELIANT,['SCIMITAR']
RENAISSANCE_CARS,['TROPICA_ROADSTER']
RENAULT,"['10', '11', '12', '14', '15', '16', '17', '18', '19', '20', '21', '25', '30', '4', '4CV', '5', '6', '8', '9', 'ALASKAN', 'ARKANA', 'AVANTIME', 'CAPTUR', 'CARAVELLE', 'CLIO', 'CLIO_RS', 'CLIO_V6', 'DAUPHINE', 'DOKKER', 'DUSTER', 'ESPACE', 'FLORIDE', 'FLUENCE', 'FREGATE', 'FUEGO', 'KADJAR', 'KANGOO', 'KAPTUR', 'KOLEOS', 'KWID', 'LAGUNA', 'LATITUDE', 'LODGY', 'LOGAN', 'MEGANE', 'MEGANE_RS', 'MODUS', 'RODEO', 'SAFRANE', 'SANDERO', 'SANDERO_RS', 'SCENIC', 'SPORT_SPYDER', 'CLIO_SYMBOL', 'TALISMAN', 'TRAFIC', 'TWINGO', 'TWIZY', 'VEL_SATIS', 'VIVASTELLA', 'WIND', 'ZOE']"
SAMSUNG,"['QM5', 'QM6', 'SM3', 'SM5', 'SM7']"
REZVANI,"['BEAST', 'TANK']"
RIMAC,"['C_TWO', 'CONCEPT_ONE']"
RINSPEED,['CHOPSTER']
ROLLS_ROYCE,"['20_25', 'CAMARGUE', 'CORNICHE', 'CULLINAN', 'DAWN', 'GHOST', 'PARK_WARD', 'PHANTOM', 'SILVER_CLOUD', 'SILVER_GHOST', 'SILVER_SERAPH', 'SILVER_SHADOW', 'SILVER_SPIRIT', 'SILVER_SPUR', 'SILVER_WRAITH', 'WRAITH']"
RONART,['LIGHTING']
ROVER,"['100', '14', '200', '25', '400', '45', '600', '75', '800', 'MAESTRO', 'METRO', 'MINI', 'P3', 'P4', 'P6', 'SD1', 'STREETWISE']"
SAAB,"['600', '9_2X', '9_3', '9_4X', '9_5', '9_7X', '90', '900', '9000', '93', '95', '96', '99', 'SONETT']"
SAIPA,"['SAINA', 'TIBA']"
SALEEN,['S7']
SANTANA,['PS_10']
SATURN,"['ASTRA', 'AURA', 'ION', 'LS', 'LW', 'OUTLOOK', 'RELAY', 'SC', 'SKY', 'SL', 'SW', 'VUE']"
SCION,"['FR_S', 'IA', 'IM', 'IQQ', 'TC', 'XA', 'XB', 'XD']"
SEAT,"['133', 'ALHAMBRA', 'ALTEA', 'ARONA', 'AROSA', 'ATECA', 'CORDOBA', 'EXEO', 'FURA', 'IBIZA', 'IBIZA_CUPRA', 'INCA', 'LEON', 'LEON_CUPRA', 'MALAGA', 'MARBELLA', 'MII', 'RONDA', 'TARRACO', 'TOLEDO']"
SHANGHAI_MAPLE,"['C31', 'C32', 'C51', 'C52', 'C61', 'C81']"
SHUANGHUAN,"['NOBLE', 'SCEO']"
SIMCA,"['1300_1500', '1307']"
SKODA,"['100_SERIES', '120', '1200', 'CITIGO', 'FABIA', 'FABIA_RS', 'FAVORIT', 'FELICIA', 'FORMAN', 'KAMIQ', 'KAROQ', 'KODIAQ', 'KODIAQ_RS', 'OCTAVIA', 'OCTAVIA_RS', 'POPULAR', 'RAPID', 'ROOMSTER', 'SCALA', 'SUPERB', 'YETI']"
SMART,"['FORFOUR', 'FORTWO', 'ROADSTER']"
SOUEAST,['LIONCEL']
SPECTRE,['R42']
SPYKER,"['C12', 'C8']"
SSANG_YONG,"['ACTYON', 'ACTYON_SPORT', 'CHAIRMAN', 'ISTANA', 'KALLISTA', 'KORANDO', 'KORANDO_FAMILY', 'KORANDO_SPORTS', 'KORANDO_TURISMO', 'KYRON', 'MUSSO', 'NOMAD', 'REXTON', 'RODIUS', 'STAVIC', 'TIVOLI', 'TIVOLI_XLV']"
STEYR,['1500']
STUDEBAKER,['GOLDEN_HAWK']
SUBARU,"['1000', '360', 'ALCYONE', 'ASCENT', 'BAJA', 'BIGHORN', 'BISTRO', 'BRAT', 'BRZ', 'DEX', 'DIAS_WAGON', 'DOMINGO', 'EXIGA', 'FORESTER', 'IMPREZA', 'IMPREZA_WRX', 'IMPREZA_WRX_STI', 'JUSTY', 'LEGACY', 'LEGACY_LANCASTER', 'LEONE', 'LEVORG', 'LIBERO', 'LUCRA', 'OUTBACK', 'PLEO', 'R1', 'R2', 'REX', 'SAMBAR', 'STELLA', 'SVX', 'TRAVIQ', 'TREZIA', 'B9_TRIBECA', 'VIVIO', 'WRX', 'WRX_STI', 'XT', 'XV']"
SUZUKI,"['AERIO', 'ALTO', 'ALTO_LAPIN', 'APV', 'BALENO', 'CAPPUCCINO', 'CARA', 'CARRY', 'CELERIO', 'CERVO_CLASSIC', 'CULTUS', 'EQUATOR', 'ERTIGA', 'ESCUDO', 'ESTEEM', 'EVERY', 'FORENZA', 'GRAND_VITARA', 'HUSTLER', 'IGNIS', 'JIMNY', 'KEI', 'KIZASHI', 'LANDY', 'LIANA', 'MR_WAGON', 'PALETTE', 'RENO', 'SAMURAI', 'SIDEKICK', 'SOLIO', 'SPACIA', 'SPLASH', 'SWIFT', 'SX4', 'TWIN', 'VERONA', 'VITARA', 'WAGON_R', 'WAGON_R_PLUS', 'X_90', 'XL_7']"
TALBOT,"['1510', 'AVENGER', 'HORIZON', 'RANCHO', 'SAMBA', 'SOLARA', 'TAGORA']"
TATA,"['ARIA', 'ESTATE', 'INDICA', 'INDIGO', 'NANO', 'SAFARI', 'SIERRA', 'SUMO', 'SUMO_GRANDE', 'TELCOLINE', 'XENON']"
TATRA,"['57', '77', '80', '87', 'T603', 'T613', 'T700']"
TAZZARI,['ZERO']
TESLA,"['CYBERTRUCK', 'MODEL_3', 'MODEL_S', 'MODEL_X', 'MODEL_Y', 'ROADSTER']"
THINK,['CITY']
TIANMA,['CENTURY']
TIANYE,['ADMIRAL']
TOFAS,"['KARTAL', 'MURAT_124', 'MURAT_131', 'SAHIN', 'SERCE']"
TOYOTA,"['2000GT', '4RUNNER', 'ALLEX', 'ALLION', 'ALPHARD', 'ALTEZZA', 'AQUA', 'ARISTO', 'AURION', 'AURIS', 'AVALON', 'AVANZA', 'AVENSIS', 'AVENSIS_VERSO', 'AYGO', 'BB', 'BELTA', 'BLADE', 'BLIZZARD', 'BREVIS', 'C_HR', 'CALDINA', 'CAMI', 'CAMRY', 'CAMRY_SOLARA', 'CARINA', 'CARINA_E', 'CARINA_ED', 'CAVALIER', 'CELICA', 'CELSIOR', 'CENTURY', 'CHASER', 'CLASSIC', 'COMFORT', 'COMS', 'COROLLA', 'COROLLA_II', 'COROLLA_LEVIN', 'COROLLA_RUMION', 'COROLLA_SPACIO', 'COROLLA_VERSO', 'CORONA', 'CORONA_EXIV', 'CORSA', 'CRESSIDA', 'CRESTA', 'CROWN', 'CROWN_MAJESTA', 'CURREN', 'CYNOS', 'DUET', 'ECHO', 'ESQUIRE', 'ESTIMA', 'ETIOS', 'FJ_CRUISER', 'FORTUNER', 'FUNCARGO', 'GAIA', 'GRAND_HIACE', 'GRANVIA', 'GT86', 'HARRIER', 'HIACE', 'HIGHLANDER', 'HILUX', 'HILUX_SURF', 'INNOVA', 'IPSUM', 'IQ', 'ISIS', 'IST', 'KLUGER', 'LAND_CRUISER', 'LAND_CRUISER_PRADO', 'LITE_ACE', 'MARK_II', 'MARK_X', 'MARK_X_ZIO', 'MASTER_ACE_SURF', 'MATRIX', 'MEGA_CRUISER', 'MIRAI', 'MODEL_F', 'MR_S', 'MR2', 'NADIA', 'NOAH', 'OPA', 'ORIGIN', 'PASEO', 'PASSO', 'PASSO_SETTE', 'PICNIC', 'PIXIS_EPOCH', 'PIXIS_JOY', 'PIXIS_MEGA', 'PIXIS_SPACE', 'PIXIS_VAN', 'PLATZ', 'PORTE', 'PREMIO', 'PREVIA', 'PRIUS', 'PRIUS_ALPHA', 'PRIUS_C', 'PRIUSPLUS', 'PROACE', 'PROBOX', 'PROGRES', 'PRONARD', 'PUBLICA', 'RACTIS', 'RAIZE', 'RAUM', 'RAV_4', 'REGIUS', 'REGIUSACE', 'ROOMY', 'RUSH', 'SAI', 'SCEPTER_SEDAN', 'SEQUOIA', 'SERA', 'SIENNA', 'SIENTA', 'SOARER', 'SOLUNA', 'SPADE', 'SPARKY', 'SPORTS_800', 'SPRINTER', 'SPRINTER_CARIB', 'SPRINTER_MARINO', 'SPRINTER_TRUENO', 'STARLET', 'SUCCEED', 'SUPRA', 'TACOMA', 'TANK', 'TERCEL', 'TOURING_HIACE', 'TOWN_ACE', 'TUNDRA', 'URBAN_CRUISER', 'VANGUARD', 'VELLFIRE', 'VENZA', 'VEROSSA', 'VERSO', 'VERSO_S', 'VIOS', 'VISTA', 'VITZ', 'VOLTZ', 'VOXY', 'WILL', 'WILL_CYPHA', 'WINDOM', 'WISH', 'YARIS', 'YARIS_VERSO']"
TRABANT,"['1_1', '600', '601', 'P50']"
TRAMONTANA,['TRAMONTANA']
TRIUMPH,"['ACCLAIM', 'SPITFIRE', 'STAG', 'TR4', 'TR6', 'TR7', 'TR8']"
TVR,"['280', '350', '390', '400', '420', '450', 'CERBERA', 'CHIMAERA', 'GRIFFITH', 'S_SERIES', 'SAGARIS', 'TAIMAR', 'TAMORA', 'TASMIN', 'TUSCAN']"
ULTIMA,['GTR']
VAUXHALL,"['ADAM', 'AMPERA', 'ASTRA', 'CARLTON', 'CAVALIER', 'CHEVETTE', 'CORSA', 'FIRENZA', 'FRONTERA', 'INSIGNIA', 'MERIVA', 'MOKKA', 'MONARO', 'OMEGA', 'ROYALE', 'TIGRA', 'VECTRA', 'VELOX', 'VENTORA', 'VICEROY', 'VICTOR', 'VIVA', 'VXR8', 'ZAFIRA']"
VECTOR,"['M12', 'W8']"
VENTURI,"['210', '260_LM', '300_ATLANTIQUE', '400_GT']"
VOLKSWAGEN,"['181', 'AMAROK', 'ARTEON', 'ATLAS', 'BEETLE', 'BORA', 'CADDY', 'CALIFORNIA', 'CARAVELLE', 'CORRADO', 'DERBY', 'EOS', 'EUROVAN', 'FOX', 'GOL', 'GOLF', 'GOLF_COUNTRY', 'GOLF_GTI', 'GOLF_PLUS', 'GOLF_R', 'GOLF_R32', 'GOLF_SPORTSVAN', 'ID3', 'ILTIS', 'JETTA', 'K70', 'KARMANN_GHIA', 'LUPO', 'LUPO_GTI', 'MULTIVAN', 'PARATI', 'PASSAT', 'PASSAT_NA', 'PASSAT_CC', 'PHAETON', 'POINTER', 'POLO', 'POLO_GTI', 'POLO_R_WRC', 'QUANTUM', 'ROUTAN', 'SANTANA', 'SCIROCCO', 'SCIROCCO_R', 'SHARAN', 'T_CROSS', 'T_ROC', 'T_ROC_R', 'TARO', 'TERAMONT', 'TIGUAN', 'TOUAREG', 'TOURAN', 'TRANSPORTER', 'TYPE_1', 'TYPE_2', 'TYPE_3', 'TYPE_4', 'UP', 'VENTO', 'XL1']"
VOLVO,"['120_SERIES', '140', '164', '240_SERIES', '260', '300_SERIES', '440', '460', '480', '66', '740', '760', '780', '850', '940', '960', 'C30', 'C70', 'LAPLANDER', 'P1800', 'P1900', 'S40', 'S60', 'S60_CROSS_COUNTRY', 'S70', 'S80', 'S90', 'V40', 'V40_CC', 'V50', 'V60', 'V60_CROSS_COUNTRY', 'V70', 'V90', 'V90_CROSS_COUNTRY', 'XC40', 'XC60', 'XC70', 'XC90']"
VORTEX,"['CORDA', 'ESTINA', 'TINGO']"
W_MOTORS,"['FENYR_SUPERSPORT', 'LYKAN_HYPERSPORT']"
WANDERER,"['W23', 'W50']"
WARTBURG,"['1_3', '353']"
WESTFIELD,"['SEI_SPORT', 'SEIGHT']"
WIESMANN,"['GT', 'ROADSTER']"
WILLIS,"['CJ', 'MODEL_20', 'MB']"
XINKAI,"['PICKUP_X3', 'SR_V_X3', 'SUV_X3']"
ZASTAVA,"['10', 'FLORIDA', 'SKALA', 'YUGO']"
ZENOS,['E10']
ZENVO,['ST1']
ZIBAR,['MK2']
ZOTYE,"['COUPA', 'NOMAD', 'SR9', 'T600', 'Z100', 'Z300']"
ZX,"['ADMIRAL', 'GRAND_TIGER', 'LANDMARK']"
AVTOKAM,"['2160', '2163', '3101']"
GAZ,"['12', '13', '14', '18', '21', '22', '2308_ATAMAN', '2330_TIGR', '24', '3102', '31029', '3103_VOLGA', '3105', '3110', '31105', '3111', '46', '61', '64', '67', '69', 'VOLGA_SIBER', 'A', 'M_20', 'M_72', 'M1']"
PROMO_AUTO,"['DALLARA_F399_300', 'SHOW_CAR']"
ZAZ,"['TAVRIA', 'SLAVUTA', 'DANA', '965', '966', '968', 'CHANCE', 'FORZA', 'ZAZ_LANOS', 'SENS', 'VIDA']"
ZIL,"['111', '114', '117', '4104']"
ZIS,"['101', '110']"
IG,"['2125', '2126', '21261_FABULA', '2717', '412']"
KANONIR,['2317']
KOMBAT,['T98']
LUAZ,"['1302', '967', '969']"
MOSCVICH,"['2136', '2137', '2138', '2140', '2141', '2142', '400', '401', '402', '403', '407', '408', '410', '411', '412', '423', '424', '426', '427', '430', 'DUET', 'IVAN_KALITA', 'KNYAZ_VLADIMIR', 'SVYATOGOR', 'YURI_DOLGORUKIY']"
SMZ,"['S3A', 'S3D']"
TAGAZ,"['AQUILA', 'C30', 'C10', 'C190', 'ROAD_PARTNER', 'TAGER', 'C_100']"
UAZ,"['3151', '3153', '3159', '3160', '3162', '469', 'HUNTER', 'PATRIOT', 'PICKUP', 'ASTERO']"
E_MOBIL,['E_CROSSOVER']
